Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
Walters Counseling,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Advanced Arm Dynamics,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Center for Foot and Ankle Disorders,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Grand and Verdi Acupuncture & Herbs,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Pennsylvania Medical Group,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Medical Center Pharmacy,,1740,South Street,"Philadelphia, PA 19146",,,,,Pharmacy,,,,,,,,1740 South Street,19146,philadelphia,PA
WALGREEN EASTERN CO INC,,1800,South Street,"Philadelphia, PA 19146",,,,,Pharmacy,,,,,,,,1800 South Street,19146,philadelphia,PA
Penn Medicine - Tuttleman Center,,1840,South Street,"Philadelphia, PA 19146",,,,,Medical ,,,,,,,,1840 South Street,19146,philadelphia,PA
Sharon Savings Bank,,1900,South Street,"Philadelphia, PA 19146",,,,,Bank / Financial Institution,,,,,,,,1900 South Street,19146,philadelphia,PA
Coldwell Banker - Welker Real Estate,,1904,South Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,1904 South Street,19146,philadelphia,PA
EpidEdmy,,1904,South Street,"Philadelphia, PA 19146",,,,,Skin Care/Spa,,,,,,,,1904 South Street,19146,philadelphia,PA
Kriskolo,,1908,South Street,"Philadelphia, PA 19146",,,,,Architects / Designers,,,,,,,,1908 South Street,19146,philadelphia,PA
Butcher's Sew Shop,,1912,South Street,"Philadelphia, PA 19146",,,,,Sewing Classes,,,,,,,,1912 South Street,19146,philadelphia,PA
Hellen's Cleaners,,2000,South Street,"Philadelphia, PA 19146",,,,,Dry Cleaner / Laundromat,,,,,,,,2000 South Street,19146,philadelphia,PA
Paul's Shoe Repair,,2002,South Street,"Philadelphia, PA 19146",,,,,Shoe Repair / Key Shop,,,,,,,,2002 South Street,19146,philadelphia,PA
Nationwide Insurance - Kevin Halpin,,2003,South Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,2003 South Street,19146,philadelphia,PA
Jade Business Services,,2003,South Street,"Philadelphia, PA 19146",,,,,Services (Accountants),,,,,,,,2003 South Street,19146,philadelphia,PA
Image Revolver,,2020,South Street,"Philadelphia, PA 19146",,,,,Services (Video Marketing),,,,,,,,2020 South Street,19146,philadelphia,PA
Moorish science temple of America,,2022,South Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,2022 South Street,19146,philadelphia,PA
Doggie Style Pets South,,2101,South Street,"Philadelphia, PA 19146",,,,,Pet Supply / Grooming,,,,,,,,2101 South Street,19146,philadelphia,PA
CVS PHARMACY INC*,,2132,South Street,"Philadelphia, PA 19146",,,,,Pharmacy,,,,,,,,2132 South Street,19146,philadelphia,PA
RIMS Dry Cleaners,,2203,South Street,"Philadelphia, PA 19146",,,,,Dry Cleaning,,,,,,,,2203 South Street,19146,philadelphia,PA
City Cat Vets,,2210,South Street,"Philadelphia, PA 19146",,,,,Pets,,,,,,,,2210 South Street,19146,philadelphia,PA
